Year,Name,playerType,...3,Voted By,Type,Votes,% of Ballots,playerid,debut,finalGame,MidSeason
1979,Willie Mays,Batter,1931-Living,BBWAA,Player,409,94.7%,mayswi01,1951-05-25,1973-09-09,1962
1979,Hack Wilson,,1900-1948,Veterans,Player,NA,NA,wilsoha01,1923-09-29,1934-08-25,1928.5
1978,Addie Joss,,1880-1911,Veterans,Player,NA,NA,jossad01,1902-04-26,1910-07-25,1906
1978,Eddie Mathews,Batter,1931-2001,BBWAA,Player,301,79.4%,matheed01,1952-04-15,1968-09-27,1960
1977,Ernie Banks,Batter,1931-2015,BBWAA,Player,321,83.8%,bankser01,1953-09-17,1971-09-26,1962
1977,Martín Dihigo,,1905-1971,Negro League,Player,NA,NA,dihigma99,NA,NA,NA
1977,John Henry Lloyd,,1884-1964,Negro League,Player,NA,NA,lloydjo99,NA,NA,NA
1977,Amos Rusie,,1871-1942,Veterans,Player,NA,NA,rusieam01,1889-05-09,1901-06-09,1895
1977,Joe Sewell,,1898-1990,Veterans,Player,NA,NA,seweljo01,1920-09-10,1933-09-24,1926.5
1976,Oscar Charleston,,1896-1954,Negro League,Player,NA,NA,charlos99,NA,NA,NA
1976,Roger Connor,,1857-1931,Veterans,Player,NA,NA,connoro01,1880-05-01,1897-05-18,1888.5
1976,Bob Lemon,,1920-2000,BBWAA,Player,305,78.6%,lemonbo01,1941-09-09,1958-07-01,1949.5
1976,Freddie Lindstrom,,1905-1981,Veterans,Player,NA,NA,lindsfr01,1924-04-15,1936-05-15,1930
1976,Robin Roberts,Pitcher,1926-2010,BBWAA,Player,337,86.9%,roberro01,1948-06-18,1966-09-03,1957
1975,Earl Averill,,1902-1983,Veterans,Player,NA,NA,averiea01,1929-04-16,1941-04-25,1935
1975,Billy Herman,,1909-1992,Veterans,Player,NA,NA,hermabi01,1931-08-29,1947-08-01,1939
1975,Judy Johnson,,1899-1989,Negro League,Player,NA,NA,johnsju99,NA,NA,NA
1975,Ralph Kiner,,1922-2014,BBWAA,Player,273,75.4%,kinerra01,1946-04-16,1955-09-25,1950.5
1974,Cool Papa Bell,,1903-1991,Negro League,Player,NA,NA,bellco99,NA,NA,NA
1974,Jim Bottomley,,1900-1959,Veterans,Player,NA,NA,bottoji01,1922-08-18,1937-09-16,1929.5
1974,Whitey Ford,Pitcher,1928-2020,BBWAA,Player,284,77.8%,fordwh01,1950-07-01,1967-05-21,1958.5
1974,Mickey Mantle,Batter,1931-1995,BBWAA,Player,322,88.2%,mantlmi01,1951-04-17,1968-09-28,1959.5
1974,Sam Thompson,,1860-1922,Veterans,Player,NA,NA,thompsa01,1885-07-02,1906-09-10,1895.5
1973,Roberto Clemente,Batter,1934-1972,Special Election,Player,NA,NA,clemero01,1955-04-17,1972-10-03,1963.5
1973,Monte Irvin,,1919-2016,Negro League,Player,NA,NA,irvinmo01,1949-07-08,1956-09-30,1952.5
1973,George Kelly,,1895-1984,Veterans,Player,NA,NA,kellyge01,1915-08-18,1932-07-26,1923.5
1973,Warren Spahn,Pitcher,1921-2003,BBWAA,Player,316,83.2%,spahnwa01,1942-04-19,1965-10-01,1953.5
1973,Mickey Welch,,1859-1941,Veterans,Player,NA,NA,welchmi01,1880-05-01,1892-05-17,1886
1972,Yogi Berra,Batter,1925-2015,BBWAA,Player,339,85.6%,berrayo01,1946-09-22,1965-05-09,1955.5
1972,Josh Gibson,,1911-1947,Negro League,Player,NA,NA,gibsojo99,NA,NA,NA
1972,Lefty Gomez,,1908-1989,Veterans,Player,NA,NA,gomezle01,1930-04-29,1943-05-30,1936.5
1972,Sandy Koufax,Pitcher,1935-Living,BBWAA,Player,344,86.9%,koufasa01,1955-06-24,1966-10-02,1960.5
1972,Buck Leonard,,1907-1997,Negro League,Player,NA,NA,leonabu99,NA,NA,NA
1972,Early Wynn,,1920-1999,BBWAA,Player,301,76.0%,wynnea01,1939-09-13,1963-09-13,1951
1972,Ross Youngs,,1897-1927,Veterans,Player,NA,NA,youngro01,1917-09-25,1926-08-10,1921.5
1971,Dave Bancroft,,1891-1972,Veterans,Player,NA,NA,bancrda01,1915-04-14,1930-05-31,1922.5
1971,Jake Beckley,,1867-1918,Veterans,Player,NA,NA,becklja01,1888-06-20,1907-06-15,1897.5
1971,Chick Hafey,,1903-1973,Veterans,Player,NA,NA,hafeych01,1924-08-28,1937-09-30,1930.5
1971,Harry Hooper,,1887-1974,Veterans,Player,NA,NA,hoopeha01,1909-04-16,1925-10-04,1917
1971,Joe Kelley,,1871-1943,Veterans,Player,NA,NA,kellejo01,1891-07-27,1908-10-03,1899.5
1971,Rube Marquard,,1886-1980,Veterans,Player,NA,NA,marquru01,1908-09-25,1925-09-18,1916.5
